Time,DKe_wind,SE2_wind,SE4_wind
01/01/2015 00:00,0.5392482,0.08950263,0.4465935
01/01/2015 01:00,0.6659831,0.05153251,0.5486006
01/01/2015 02:00,0.5832925,0.02106216,0.6734781
01/01/2015 03:00,0.6704671,0.05213973,0.8761269
01/01/2015 04:00,0.8366543,0.06978495,0.9429667
01/01/2015 05:00,0.7591231,0.05193151,0.932251
01/01/2015 06:00,0.8120242,0.09074521,0.9112709
01/01/2015 07:00,0.9287923,0.1979355,0.9435263
01/01/2015 08:00,0.8473009,0.2313913,0.921456
01/01/2015 09:00,0.7932518,0.1760501,0.8695072
01/01/2015 10:00,0.8662599,0.1713961,0.8589411
01/01/2015 11:00,0.95,0.2512654,0.8427784
01/01/2015 12:00,0.8317544,0.2916318,0.7774338
01/01/2015 13:00,0.8139349,0.1451098,0.9044331
01/01/2015 14:00,0.8483199,0.1208724,0.8815018
01/01/2015 15:00,0.95,0.1808801,0.9288809
01/01/2015 16:00,0.949448,0.3345216,0.9049723
01/01/2015 17:00,0.913353,0.2725572,0.9499999
01/01/2015 18:00,0.95,0.1667168,0.95
01/01/2015 19:00,0.95,0.1667462,0.9499999
01/01/2015 20:00,0.95,0.2568336,0.95
01/01/2015 21:00,0.95,0.2788697,0.95
01/01/2015 22:00,0.95,0.2591332,0.95
01/01/2015 23:00,0.95,0.113092,0.95
02/01/2015 00:00,0.9499999,0.1242559,0.95
02/01/2015 01:00,0.95,0.1811507,0.95
02/01/2015 02:00,0.95,0.2250943,0.95
02/01/2015 03:00,0.95,0.2480019,0.9499999
02/01/2015 04:00,0.95,0.2168312,0.95
02/01/2015 05:00,0.95,0.1538834,0.95
02/01/2015 06:00,0.95,0.1146328,0.95
02/01/2015 07:00,0.95,0.07052304,0.9499999
02/01/2015 08:00,0.95,0.07472797,0.95
02/01/2015 09:00,0.95,0.3685593,0.95
02/01/2015 10:00,0.95,0.95,0.95
02/01/2015 11:00,0.95,0.95,0.95
02/01/2015 12:00,0.95,0.95,0.95
02/01/2015 13:00,0.95,0.9499999,0.9499999
02/01/2015 14:00,0.9499999,0.95,0.95
02/01/2015 15:00,0.95,0.95,0.9499999
02/01/2015 16:00,0.95,0.95,0.95
02/01/2015 17:00,0.95,0.95,0.95
02/01/2015 18:00,0.95,0.9499999,0.95
02/01/2015 19:00,0.9499999,0.9499999,0.95
02/01/2015 20:00,0.95,0.95,0.95
02/01/2015 21:00,0.95,0.95,0.95
02/01/2015 22:00,0.95,0.8934711,0.95
02/01/2015 23:00,0.9499999,0.9235488,0.9499999
03/01/2015 00:00,0.9444191,0.7150557,0.95
03/01/2015 01:00,0.9444191,0.9159763,0.95
03/01/2015 02:00,0.9444191,0.95,0.9499999
03/01/2015 03:00,0.9444191,0.95,0.95
03/01/2015 04:00,0.9444191,0.9499999,0.95
03/01/2015 05:00,0.9444191,0.9499999,0.95
03/01/2015 06:00,0.9444191,0.95,0.9499999
03/01/2015 07:00,0.95,0.95,0.95
03/01/2015 08:00,0.95,0.95,0.9499999
03/01/2015 09:00,0.95,0.95,0.95
03/01/2015 10:00,0.9206936,0.95,0.9499999
03/01/2015 11:00,0.95,0.7911428,0.9499999
03/01/2015 12:00,0.95,0.6387603,0.9499999
03/01/2015 13:00,0.9499999,0.7297952,0.9422429
03/01/2015 14:00,0.95,0.7906129,0.9368393
03/01/2015 15:00,0.9499999,0.7553461,0.95
03/01/2015 16:00,0.95,0.9189912,0.95
03/01/2015 17:00,0.95,0.7800479,0.95
03/01/2015 18:00,0.940347,0.9168713,0.95
03/01/2015 19:00,0.95,0.8477994,0.95
03/01/2015 20:00,0.95,0.7277698,0.95
03/01/2015 21:00,0.9499999,0.9386855,0.95
03/01/2015 22:00,0.95,0.95,0.95
03/01/2015 23:00,0.9316603,0.95,0.95
04/01/2015 00:00,0.95,0.95,0.95
04/01/2015 01:00,0.95,0.95,0.95
04/01/2015 02:00,0.9499999,0.95,0.95
04/01/2015 03:00,0.9499999,0.95,0.95
04/01/2015 04:00,0.9499999,0.95,0.9499999
04/01/2015 05:00,0.95,0.95,0.95
04/01/2015 06:00,0.95,0.95,0.95
04/01/2015 07:00,0.95,0.9499999,0.9491454
04/01/2015 08:00,0.95,0.95,0.9248556
04/01/2015 09:00,0.95,0.95,0.9263806
04/01/2015 10:00,0.95,0.95,0.942959
04/01/2015 11:00,0.95,0.95,0.95
04/01/2015 12:00,0.95,0.95,0.95
04/01/2015 13:00,0.95,0.9499999,0.95
04/01/2015 14:00,0.95,0.95,0.95
04/01/2015 15:00,0.9499999,0.9301992,0.9499999
04/01/2015 16:00,0.95,0.7671055,0.95
04/01/2015 17:00,0.937,0.6174298,0.95
04/01/2015 18:00,0.9318194,0.3473187,0.95
04/01/2015 19:00,0.9055851,0.4426956,0.9499999
04/01/2015 20:00,0.7071585,0.9017366,0.8962148
04/01/2015 21:00,0.6509575,0.8125601,0.9495042
04/01/2015 22:00,0.4875424,0.6724521,0.9469472
04/01/2015 23:00,0.399455,0.5161305,0.95
05/01/2015 00:00,0.5188994,0.4218875,0.7582362
05/01/2015 01:00,0.6254461,0.3833756,0.5101768
05/01/2015 02:00,0.6102017,0.3277026,0.6985784
05/01/2015 03:00,0.8515508,0.3361654,0.7532873
05/01/2015 04:00,0.8534973,0.2642768,0.470926
05/01/2015 05:00,0.8999863,0.1573967,0.4597954
05/01/2015 06:00,0.765301,0.1794457,0.5783463
05/01/2015 07:00,0.9391876,0.2265065,0.1592066
05/01/2015 08:00,0.9135889,0.1312975,0.09464959
05/01/2015 09:00,0.722083,0.08566701,0.06633421
05/01/2015 10:00,0.7164355,0.009920212,0.04513801
05/01/2015 11:00,0.5088678,0.0416167,0.04792391
05/01/2015 12:00,0.4535017,0.01149279,0.03530996
05/01/2015 13:00,0.3039913,0,0.03922838
05/01/2015 14:00,0.2442749,0,0.02357282
05/01/2015 15:00,0.1065554,0,0.03723044
05/01/2015 16:00,0.03955874,0,0.01277664
05/01/2015 17:00,0,0,0.06292655
05/01/2015 18:00,0,0.002363365,0.03375332
05/01/2015 19:00,0.000371085,0.03245631,0.02418683
05/01/2015 20:00,0.03113528,0.008913124,0.03343973
05/01/2015 21:00,0.06028552,0.05655429,0.02065613
05/01/2015 22:00,0.06553599,0.2624724,0.003084625
05/01/2015 23:00,0.09567109,0.5090507,0
06/01/2015 00:00,0.145842,0.462367,0.01445837
06/01/2015 01:00,0.2587059,0.32322,0.01979705
06/01/2015 02:00,0.4038351,0.4246381,0.04572643
06/01/2015 03:00,0.3652299,0.6247647,0.06379059
06/01/2015 04:00,0.2763201,0.5099705,0.1084271
06/01/2015 05:00,0.4318613,0.3689336,0.1845931
06/01/2015 06:00,0.3685576,0.424944,0.2058346
06/01/2015 07:00,0.3242983,0.4753987,0.2845386
06/01/2015 08:00,0.2156559,0.6554002,0.2997965
06/01/2015 09:00,0.3374423,0.4433755,0.3778021
06/01/2015 10:00,0.4681097,0.5057925,0.4148971
06/01/2015 11:00,0.4612961,0.6495844,0.4900832
06/01/2015 12:00,0.3943305,0.6795281,0.4996507
06/01/2015 13:00,0.3269117,0.595224,0.6888711
06/01/2015 14:00,0.6087974,0.5653703,0.6701728
06/01/2015 15:00,0.7251498,0.5459744,0.832866
06/01/2015 16:00,0.5914293,0.6359643,0.9479517
06/01/2015 17:00,0.5022698,0.6153664,0.9241778
06/01/2015 18:00,0.835844,0.6623368,0.95
06/01/2015 19:00,0.8882182,0.47332,0.95
06/01/2015 20:00,0.7133479,0.492321,0.95
06/01/2015 21:00,0.7609962,0.6993004,0.9499999
06/01/2015 22:00,0.5542697,0.4710859,0.95
06/01/2015 23:00,0.7664942,0.4093634,0.95
07/01/2015 00:00,0.624269,0.2113959,0.95
07/01/2015 01:00,0.5447003,0.2102054,0.9499999
07/01/2015 02:00,0.4776213,0.1358868,0.95
07/01/2015 03:00,0.4258704,0.135725,0.95
07/01/2015 04:00,0.4097548,0.1524332,0.95
07/01/2015 05:00,0.2815285,0.2346849,0.95
07/01/2015 06:00,0.2306282,0.2304741,0.95
07/01/2015 07:00,0.1651013,0.2414158,0.7007253
07/01/2015 08:00,0.1652151,0.2497639,0.7037401
07/01/2015 09:00,0.1172225,0.1926821,0.640406
07/01/2015 10:00,0.1443812,0.07893948,0.5427191
07/01/2015 11:00,0.1252906,0.04645269,0.300005
07/01/2015 12:00,0.1193974,0,0.1971736
07/01/2015 13:00,0.1502157,0,0.1759883
07/01/2015 14:00,0.2413586,0.08578955,0.1461422
07/01/2015 15:00,0.3102231,0.1543233,0.1195949
07/01/2015 16:00,0.3126283,0.1863396,0.09447378
07/01/2015 17:00,0.4299341,0.3377548,0.07029405
07/01/2015 18:00,0.4214454,0.4192437,0.1144416
07/01/2015 19:00,0.5895087,0.4464748,0.09557648
07/01/2015 20:00,0.6443994,0.4614774,0.1381835
07/01/2015 21:00,0.3635241,0.3786159,0.2010595
07/01/2015 22:00,0.5296972,0.4950146,0.214374
07/01/2015 23:00,0.5907098,0.5277913,0.3158509
08/01/2015 00:00,0.7568889,0.6479262,0.4128163
08/01/2015 01:00,0.8928196,0.629578,0.6567674
08/01/2015 02:00,0.8873507,0.5864784,0.8064177
08/01/2015 03:00,0.95,0.910637,0.9281296
08/01/2015 04:00,0.95,0.95,0.9499999
08/01/2015 05:00,0.95,0.6254088,0.95
08/01/2015 06:00,0.95,0.4034313,0.95
08/01/2015 07:00,0.95,0.4134996,0.95
08/01/2015 08:00,0.9499999,0.3099955,0.95
08/01/2015 09:00,0.95,0.1820583,0.95
08/01/2015 10:00,0.95,0.1038549,0.95
08/01/2015 11:00,0.95,0.1056757,0.95
08/01/2015 12:00,0.9370944,0.2191082,0.95
08/01/2015 13:00,0.7938682,0.1763318,0.95
08/01/2015 14:00,0.7602553,0.1417382,0.95
